infraction_description,set_fine_amount,location2
PARK IN A FIRE ROUTE,250,1350 DANFORTH AVE
PARK IN A FIRE ROUTE,250,1350 DANFORTH AVE
PARK IN A FIRE ROUTE,250,4025 LAWRENCE AVE EAST
PARK IN A FIRE ROUTE,250,1340 DANFORTH RD
PARK IN A FIRE ROUTE,250,4205 LAWRENCE AVE E
PARK IN A FIRE ROUTE,250,195 EXBURY RD
PARK IN A FIRE ROUTE,250,135 FENELON DR
PARK IN A FIRE ROUTE,250,2230 LAKE SHORE BLVD W
PARK IN A FIRE ROUTE,250,4062 LAWRENCE AVE E
PARK IN A FIRE ROUTE,250,4062 LAWRENCE AVE E
PARK IN A FIRE ROUTE,250,6 VENA WAY
PARK IN A FIRE ROUTE,250,6 VENA WAY
PARK IN A FIRE ROUTE,250,10 VENA WAY
PARK IN A FIRE ROUTE,250,1088 PROGRESS AVE
PARK IN A FIRE ROUTE,250,2085 ISLINGTON AVE
PARK IN A FIRE ROUTE,250,9 EATON PARK LANE
PARK IN A FIRE ROUTE,250,6 VENA WAY
PARK IN A FIRE ROUTE,250,6 VENA WAY
PARK IN A FIRE ROUTE,250,45 OVERLEA BLVD
PARK IN A FIRE ROUTE,250,45 OVERLEA BLVD
PARK IN A FIRE ROUTE,250,71 THORNCLIFFE PARK DR
PARK IN A FIRE ROUTE,250,71 THORNCLIFFE PARK DR
PARK IN A FIRE ROUTE,250,56 THORNCLIFFE PARK DR
PARK IN A FIRE ROUTE,250,45 OVERLEA BLVD
PARK IN A FIRE ROUTE,250,45 OVERLEA BLVD
PARK IN A FIRE ROUTE,250,678 SHEPPARD AVE E
PARK IN A FIRE ROUTE,250,33 SINGER CRT
PARK IN A FIRE ROUTE,250,33 SINGER CRT
PARK IN A FIRE ROUTE,250,33 SINGER CRT
PARK IN A FIRE ROUTE,250,79 GOSFORD BLVD
PARK IN A FIRE ROUTE,250,90 YORK GATE BLVD
PARK IN A FIRE ROUTE,250,90 YORK GATE BLVD
PARK IN A FIRE ROUTE,250,2067 ISLINGTON AVE
PARK IN A FIRE ROUTE,250,2101 ISLINGTON AVE
PARK IN A FIRE ROUTE,250,2 ARMEL CRT
PARK IN A FIRE ROUTE,250,75 TANDRIDGE CRES
PARK IN A FIRE ROUTE,250,75 TANDRIDGE CRES
PARK IN A FIRE ROUTE,250,75 TANDRIDGE CRES
PARK IN A FIRE ROUTE,250,75 TANDRIDGE CRES
PARK IN A FIRE ROUTE,250,50 DRIFTWOOD AVE
PARK IN A FIRE ROUTE,250,50 DRIFTWOOD AVE
PARK IN A FIRE ROUTE,250,50 DRIFTWOOD AVE
PARK IN A FIRE ROUTE,250,22 BONIS AVE
PARK IN A FIRE ROUTE,250,2415 JANE ST
PARK IN A FIRE ROUTE,250,2415 JANE ST
PARK IN A FIRE ROUTE,250,2415 JANE ST
PARK IN A FIRE ROUTE,250,2415 JANE ST
PARK IN A FIRE ROUTE,250,170 WICKSON TRL
PARK IN A FIRE ROUTE,250,170 WICKSON TRL
PARK IN A FIRE ROUTE,250,40 FOUNTAINHEAD RD
PARK IN A FIRE ROUTE,250,38 MONTE KWINTER CRT
PARK IN A FIRE ROUTE,250,10 SAN ROMANOWAY
PARK IN A FIRE ROUTE,250,4415 BATHURST ST
PARK IN A FIRE ROUTE,250,35 CANYON AVE
PARK IN A FIRE ROUTE,250,35 CANYON AVE
PARK IN A FIRE ROUTE,250,35 CANYON AVE
PARK IN A FIRE ROUTE,250,5000 JANE ST
PARK IN A FIRE ROUTE,250,45 OVERLEA BLVD
PARK IN A FIRE ROUTE,250,45 OVERLEA BLVD
PARK IN A FIRE ROUTE,250,3059 FINCH AVE W
PARK IN A FIRE ROUTE,250,3035 FINCH AVE W
PARK IN A FIRE ROUTE,250,2835 ISLINGTON AVE
PARK IN A FIRE ROUTE,250,30 WINGARDEN CRT
PARK IN A FIRE ROUTE,250,2667 KIPLING AVE
PARK IN A FIRE ROUTE,250,1340 DANFORTH RD
PARK IN A FIRE ROUTE,250,1340 DANFORTH RD
PARK IN A FIRE ROUTE,250,125 BLUE JAYS WAY
PARK IN A FIRE ROUTE,250,1872 SHEPPARD AVE W
PARK IN A FIRE ROUTE,250,121 PARKWAY FOREST DR
PARK IN A FIRE ROUTE,250,37 LORD SEATON RD
PARK IN A FIRE ROUTE,250,71 THORNCLIFFE PARK DR
PARK IN A FIRE ROUTE,250,71 THORNCLIFFE PARK DR
PARK IN A FIRE ROUTE,250,71 THORNCLIFFE PARK DR
PARK IN A FIRE ROUTE,250,71 THORNCLIFFE PARK DR
PARK IN A FIRE ROUTE,250,49 THORNCLIFFE PARK DR
PARK IN A FIRE ROUTE,250,80 HARRISON GARDEN BLVD
PARK IN A FIRE ROUTE,250,100 HARRISON GARDEN BLVD
PARK IN A FIRE ROUTE,250,105 HARRISON GARDEN BLVD
PARK IN A FIRE ROUTE,250,105 HARRISON GARDEN BLVD
PARK IN A FIRE ROUTE,250,331 MILITARY TRL
PARK IN A FIRE ROUTE,250,101 TORO RD
PARK IN A FIRE ROUTE,250,1090 DON MILLS RD
PARK IN A FIRE ROUTE,250,45 ESANDAR DR
PARK IN A FIRE ROUTE,250,45 ESANDAR DR
PARK IN A FIRE ROUTE,250,45 ESANDAR DR
PARK IN A FIRE ROUTE,250,45 ESANDAR DR
PARK IN A FIRE ROUTE,250,45 ESANDAR DR
PARK IN A FIRE ROUTE,250,45 ESANDAR DR
PARK IN A FIRE ROUTE,250,45 ESANDAR DR
PARK IN A FIRE ROUTE,250,675 MARTIN GROVE RD
PARK IN A FIRE ROUTE,250,263 DIXON RD
PARK IN A FIRE ROUTE,250,265 DIXON RD
PARK IN A FIRE ROUTE,250,90 WINGARDEN CRT
PARK IN A FIRE ROUTE,250,90 EMPRINGHAM DR
PARK IN A FIRE ROUTE,250,50 TOWN CENTRE CRT
PARK IN A FIRE ROUTE,250,900 YORK MILLS RD
PARK IN A FIRE ROUTE,250,50 TOWN CENTRE CRT
PARK IN A FIRE ROUTE,250,200 BRENYON WAY
PARK IN A FIRE ROUTE,250,900 YORK MILLS RD
PARK IN A FIRE ROUTE,250,100 YORK GATE BLVD
PARK IN A FIRE ROUTE,250,100 YORK GATE BLVD
PARK IN A FIRE ROUTE,250,35 CANYON AVE
PARK IN A FIRE ROUTE,250,65 ST MARY ST
PARK IN A FIRE ROUTE,250,6 VENA WAY
PARK IN A FIRE ROUTE,250,6 VENA WAY
PARK IN A FIRE ROUTE,250,8 CHICHESTER PLACE
PARK IN A FIRE ROUTE,250,60 TOWN CENTRE CRT
PARK IN A FIRE ROUTE,250,50 TOWN CENTRE CRT
PARK IN A FIRE ROUTE,250,399 ADELAIDE ST W
PARK IN A FIRE ROUTE,250,1667 ALBION RD
PARK IN A FIRE ROUTE,250,86A ST PATRICK
PARK IN A FIRE ROUTE,250,3077 LAKE SHORE BLVD W
PARK IN A FIRE ROUTE,250,3077 LAKE SHORE BLVD W
PARK IN A FIRE ROUTE,250,2101 ISLINGTON AVE
PARK IN A FIRE ROUTE,250,8825 SHEPPARD AVE E
PARK IN A FIRE ROUTE,250,201 VAN HORNE AVE
PARK IN A FIRE ROUTE,250,201 VAN HORNE ST
PARK IN A FIRE ROUTE,250,15 GREENVIEW AVE
PARK IN A FIRE ROUTE,250,1 EGLINTON SQ
PARK IN A FIRE ROUTE,250,153 BEECROFT RD
PARK IN A FIRE ROUTE,250,1090 DON MILLS RD
PARK IN A FIRE ROUTE,250,207 MORNINGSIDE AVE
PARK IN A FIRE ROUTE,250,4700 KEELE ST
PARK IN A FIRE ROUTE,250,60 ESTHER LORRIE DR
PARK IN A FIRE ROUTE,250,275 MAIN ST
PARK IN A FIRE ROUTE,250,275 MAIN ST
PARK IN A FIRE ROUTE,250,1 EGLINTON SQ
PARK IN A FIRE ROUTE,250,2755 JANE ST
PARK IN A FIRE ROUTE,250,33 SINGER CRT
PARK IN A FIRE ROUTE,250,33 SINGER CRT
PARK IN A FIRE ROUTE,250,2575 DANFORTH AVE
PARK IN A FIRE ROUTE,250,3847 LAWRENCE AVE E
PARK IN A FIRE ROUTE,250,3847 LAWRENCE AVE E
PARK IN A FIRE ROUTE,250,30 HUMBERLINE DR
PARK IN A FIRE ROUTE,250,5 CAPRI RD
PARK IN A FIRE ROUTE,250,5 CAPRI RD
PARK IN A FIRE ROUTE,250,5 CAPRI RD
PARK IN A FIRE ROUTE,250,75 THE DONWAY W
PARK IN A FIRE ROUTE,250,2415 JANE ST
PARK IN A FIRE ROUTE,250,33 SINGER CRT
PARK IN A FIRE ROUTE,250,462 BIRCHMOUNT RD
PARK IN A FIRE ROUTE,250,2825 ISLINGTON AVE
PARK IN A FIRE ROUTE,250,10 CHICHESTER PLACE
PARK IN A FIRE ROUTE,250,60 TOWN CENTRE CRT
PARK IN A FIRE ROUTE,250,88 PARKLAWN RD
PARK IN A FIRE ROUTE,250,40 TUXEDO CRT
PARK IN A FIRE ROUTE,250,35 TOBERMORY DR
PARK IN A FIRE ROUTE,250,35 TOBERMORY DR
PARK IN A FIRE ROUTE,250,2101 ISLINGTON AVE
PARK IN A FIRE ROUTE,250,5 MARINER TER
PARK IN A FIRE ROUTE,250,160 CHALKFARM DR
PARK IN A FIRE ROUTE,250,16 HARRISON GARDEN BLVD
PARK IN A FIRE ROUTE,250,16 HARRISON GARDEN BLVD
PARK IN A FIRE ROUTE,250,55 MILL ST
PARK IN A FIRE ROUTE,250,1333 NEILSON RD
PARK IN A FIRE ROUTE,250,58 SIDNEY BELSEY CRES
PARK IN A FIRE ROUTE,250,605 FINCH AVE W
PARK IN A FIRE ROUTE,250,24 EVA RD
PARK IN A FIRE ROUTE,250,311 WASHBURN WAY
PARK IN A FIRE ROUTE,250,2 BRAHMS AVENUE
PARK IN A FIRE ROUTE,250,25 GOSFORD BLVD
PARK IN A FIRE ROUTE,250,400 GREENWOOD AVE
PARK IN A FIRE ROUTE,250,99 BLACKWELL AVE
PARK IN A FIRE ROUTE,250,9548 SHEPPARD AVE E
PARK IN A FIRE ROUTE,250,110 EMPRINGHAM DR
PARK IN A FIRE ROUTE,250,401 SEWELL'S RD
PARK IN A FIRE ROUTE,250,67 RIVERS EDGE DR
PARK IN A FIRE ROUTE,250,1138 BATHURST ST
PARK IN A FIRE ROUTE,250,35 APPLEWOOD LANE
PARK IN A FIRE ROUTE,250,1605 ALBION RD
PARK IN A FIRE ROUTE,250,301 INVERGORDON AVE
PARK IN A FIRE ROUTE,250,301 INVERGORDON AVE
PARK IN A FIRE ROUTE,250,35 TOBERMORY DR
PARK IN A FIRE ROUTE,250,18 PANORAMA CRT
PARK IN A FIRE ROUTE,250,80 FOREST MANOR RD
PARK IN A FIRE ROUTE,250,4 FOREST LANEWAY
PARK IN A FIRE ROUTE,250,6 FOREST LANEWAY
PARK IN A FIRE ROUTE,250,45 OVERLEA BLVD
PARK IN A FIRE ROUTE,250,45 OVERLEA BLVD
PARK IN A FIRE ROUTE,250,2 GLAMORGAN AVE
PARK IN A FIRE ROUTE,250,1 FIRVALLEY CRT
PARK IN A FIRE ROUTE,250,281 MUTUAL ST
PARK IN A FIRE ROUTE,250,1021 BIRCHMOUNT RD
PARK IN A FIRE ROUTE,250,1021 BIRCHMOUNT RD
PARK IN A FIRE ROUTE,250,25 COUGAR CRT
PARK IN A FIRE ROUTE,250,1775 WESTON RD
PARK IN A FIRE ROUTE,250,1775 WESTON RD
PARK IN A FIRE ROUTE,250,30 BURN HILL RD
PARK IN A FIRE ROUTE,250,665 KENNEDY RD
PARK IN A FIRE ROUTE,250,103 THE QUEENSWAY
PARK IN A FIRE ROUTE,250,103 THE QUEENSWAY
PARK IN A FIRE ROUTE,250,200 WOOLNER AVE
PARK IN A FIRE ROUTE,250,200 WOOLNER AVE
PARK IN A FIRE ROUTE,250,3 GLAMORGAN AVE
PARK IN A FIRE ROUTE,250,3131 EGLINTON AVE E
PARK IN A FIRE ROUTE,250,123 BELLAMY RD N
PARK IN A FIRE ROUTE,250,10 GORDONRIDGE PL
PARK IN A FIRE ROUTE,250,2411 LAWRENCE AVE E
PARK IN A FIRE ROUTE,250,478 KING ST W
PARK IN A FIRE ROUTE,250,1850 VICTORIA PARK AVE
PARK IN A FIRE ROUTE,250,1850 VICTORIA PARK AVE
PARK IN A FIRE ROUTE,250,1850 VICTORIA PARK AVE
PARK IN A FIRE ROUTE,250,1850 VICTORIA PARK AVE
PARK IN A FIRE ROUTE,250,53 WARRENDER AVE
PARK IN A FIRE ROUTE,250,1448 LAWRENCE AVE E
PARK IN A FIRE ROUTE,250,1448 LAWRENCE AVE E
PARK IN A FIRE ROUTE,250,1448 LAWRENCE AVE E
PARK IN A FIRE ROUTE,250,12 YORK ST
PARK IN A FIRE ROUTE,250,88 ERSKINE AVE
PARK IN A FIRE ROUTE,250,270 SCARLETT RD
PARK IN A FIRE ROUTE,250,10 FREDERICK TISDALE DR
PARK IN A FIRE ROUTE,250,331 TRUDELLE ST
PARK IN A FIRE ROUTE,250,1440 LAWRENCE AVE W
PARK IN A FIRE ROUTE,250,171 WILLIAM DUNCAN RD
PARK IN A FIRE ROUTE,250,415 WILLOWALE AVE
PARK IN A FIRE ROUTE,250,21 ICEBOAT TER
PARK IN A FIRE ROUTE,250,21 ICEBOAT TER
PARK IN A FIRE ROUTE,250,260 WELLESLEY ST E
PARK IN A FIRE ROUTE,250,45 OVERLEA BLVD
PARK IN A FIRE ROUTE,250,210 OAK ST
PARK IN A FIRE ROUTE,250,63 WATERFORD DR
PARK IN A FIRE ROUTE,250,63 WATERFORD DR
PARK IN A FIRE ROUTE,250,63 WATERFORD DR
PARK IN A FIRE ROUTE,250,50 WATERFORD DR
PARK IN A FIRE ROUTE,250,50 TRUDELLE ST
