infraction_description,set_fine_amount,location2
PARK ON PRIVATE PROPERTY,30,209 FORT YORK BLVD
PARK ON PRIVATE PROPERTY,30,2121 LAKE SHORE BLVD W
PARK ON PRIVATE PROPERTY,30,209 FORT YORK BLVD
PARK ON PRIVATE PROPERTY,30,451 THE WEST MALL
PARK ON PRIVATE PROPERTY,30,2121 LAKE SHORE BLVD W
PARK ON PRIVATE PROPERTY,30,2121 LAKE SHORE BLVD W
PARK ON PRIVATE PROPERTY,30,209 FORT YORK BLVD
PARK ON PRIVATE PROPERTY,30,451 THE WEST MALL
PARK ON PRIVATE PROPERTY,30,2121 LAKE SHORE BLVD W
PARK ON PRIVATE PROPERTY,30,209 FORT YORK BLVD
PARK ON PRIVATE PROPERTY,30,2121 LAKE SHORE BLVD W
PARK ON PRIVATE PROPERTY,30,209 FORT YORK BLVD
PARK ON PRIVATE PROPERTY,30,451 THE WEST MALL
PARK ON PRIVATE PROPERTY,30,209 FORT YORK BLVD
PARK ON PRIVATE PROPERTY,30,451 THE WEST MALL
PARK ON PRIVATE PROPERTY,30,61 TOWN CENTRE CRT
PARK ON PRIVATE PROPERTY,30,209 FORT YORK BLVD
PARK ON PRIVATE PROPERTY,30,1048 BROADVIEW AVE
PARK ON PRIVATE PROPERTY,30,451 THE WEST MALL
PARK ON PRIVATE PROPERTY,30,1 REAN DR
PARK ON PRIVATE PROPERTY,30,209 FORT YORK BLVD
PARK ON PRIVATE PROPERTY,30,209 FORT YORK BLVD
PARK ON PRIVATE PROPERTY,30,1900 LAKE SHORE BLVD W
PARK ON PRIVATE PROPERTY,30,1 REAN DR
PARK ON PRIVATE PROPERTY,30,209 FORT YORK BLVD
PARK ON PRIVATE PROPERTY,30,1900 LAKE SHORE BLVD W
PARK ON PRIVATE PROPERTY,30,209 FORT YORK BLVD
PARK ON PRIVATE PROPERTY,30,1 REAN DR
PARK ON PRIVATE PROPERTY,30,1900 LAKE SHORE BLVD W
PARK ON PRIVATE PROPERTY,30,1 REAN DR
PARK ON PRIVATE PROPERTY,30,1900 LAKE SHORE BLVD W
PARK ON PRIVATE PROPERTY,30,209 FORT YORK BLVD
PARK ON PRIVATE PROPERTY,30,1900 LAKE SHORE BLVD W
PARK ON PRIVATE PROPERTY,30,1 REAN DR
PARK ON PRIVATE PROPERTY,30,100 HARBOUR ST
PARK ON PRIVATE PROPERTY,30,225 SACKVILLE ST
PARK ON PRIVATE PROPERTY,30,18 LEE CENTRE DR
PARK ON PRIVATE PROPERTY,30,18 LEE CENTRE DR
PARK ON PRIVATE PROPERTY,30,209 FORT YORK BLVD
PARK ON PRIVATE PROPERTY,30,120 TWENTY FOURTH ST
PARK ON PRIVATE PROPERTY,30,120 TWENTY FOURTH ST
PARK ON PRIVATE PROPERTY,30,120 TWENTY FOURTH ST
PARK ON PRIVATE PROPERTY,30,120 TWENTY FOURTH ST
PARK ON PRIVATE PROPERTY,30,120 TWENTY FOURTH ST
PARK ON PRIVATE PROPERTY,30,50 TUXEDO CRT
PARK ON PRIVATE PROPERTY,30,120 TWENTY FOURTH ST
PARK ON PRIVATE PROPERTY,30,5 SHEPPARD AVE E
PARK ON PRIVATE PROPERTY,30,15 ZORRA ST
PARK ON PRIVATE PROPERTY,30,120 TWENTY FOURTH ST
PARK ON PRIVATE PROPERTY,30,15 ZORRA ST
PARK ON PRIVATE PROPERTY,30,15 ZORRA ST
PARK ON PRIVATE PROPERTY,30,15 ZORRA ST
PARK ON PRIVATE PROPERTY,30,15 ZORRA ST
PARK ON PRIVATE PROPERTY,30,15 ZORRA ST
PARK ON PRIVATE PROPERTY,30,15 ZORRA ST
PARK ON PRIVATE PROPERTY,30,15 ZORRA ST
PARK ON PRIVATE PROPERTY,30,15 ZORRA ST
PARK ON PRIVATE PROPERTY,30,15 ZORRA ST
PARK ON PRIVATE PROPERTY,30,1095 NEILSON RD
PARK ON PRIVATE PROPERTY,30,1095 NEILSON RD
PARK ON PRIVATE PROPERTY,30,1095 NEILSON RD
PARK ON PRIVATE PROPERTY,30,3091 DUFFERIN ST
PARK ON PRIVATE PROPERTY,30,GYPSY ROSEWAY
PARK ON PRIVATE PROPERTY,30,GYPSY ROSEWAY
PARK ON PRIVATE PROPERTY,30,525 ADELAIDE ST W
PARK ON PRIVATE PROPERTY,30,GYPSY ROSEWAY
PARK ON PRIVATE PROPERTY,30,GYPSY ROSEWAY
PARK ON PRIVATE PROPERTY,30,GYPSY ROSEWAY
PARK ON PRIVATE PROPERTY,30,GYPSY ROSEWAY
PARK ON PRIVATE PROPERTY,30,2040 DON MILLS RD
PARK ON PRIVATE PROPERTY,30,2040 DON MILLS RD
PARK ON PRIVATE PROPERTY,30,2495 EGLINTON AVE E
PARK ON PRIVATE PROPERTY,30,2495 EGLINTON AVE E
PARK ON PRIVATE PROPERTY,30,1340 DANFORTH RD
PARK ON PRIVATE PROPERTY,30,30 GRAND TRUNK CRES
PARK ON PRIVATE PROPERTY,30,110 CHARLES ST E
PARK ON PRIVATE PROPERTY,30,1275 DANFORTH AVE
PARK ON PRIVATE PROPERTY,30,1285 DANFORTH AVE
PARK ON PRIVATE PROPERTY,30,1285 DANFORTH AVE
PARK ON PRIVATE PROPERTY,30,1285 DANFORTH AVE
PARK ON PRIVATE PROPERTY,30,1285 DANFORTH AVE
PARK ON PRIVATE PROPERTY,30,2760 VICTORIA PARK AVE
PARK ON PRIVATE PROPERTY,30,2760 VICTORIA PARK AVE
PARK ON PRIVATE PROPERTY,30,2760 VICTORIA PARK AVE
PARK ON PRIVATE PROPERTY,30,1950 KENNEDY RD
PARK ON PRIVATE PROPERTY,30,1950 KENNEDY RD
PARK ON PRIVATE PROPERTY,30,2500 DANFORTH AVE
PARK ON PRIVATE PROPERTY,30,12 ST DENNIS DR
PARK ON PRIVATE PROPERTY,30,231 WILSON HEIGHTS BLVD
PARK ON PRIVATE PROPERTY,30,531 WILSON HEIGHTS BLVD
PARK ON PRIVATE PROPERTY,30,155 SHERBOURNE ST
PARK ON PRIVATE PROPERTY,30,2978 EGLINTON AVE E
PARK ON PRIVATE PROPERTY,30,2978 EGLINTON AVE E
PARK ON PRIVATE PROPERTY,30,155 SHERBOURNE ST
PARK ON PRIVATE PROPERTY,30,5365 DUNDAS ST W
PARK ON PRIVATE PROPERTY,30,5365 DUNDAS ST W
PARK ON PRIVATE PROPERTY,30,5365 DUNDAS ST W
PARK ON PRIVATE PROPERTY,30,5365 DUNDAS ST W
PARK ON PRIVATE PROPERTY,30,100 HARBOUR ST
PARK ON PRIVATE PROPERTY,30,4001 LESLIE ST
PARK ON PRIVATE PROPERTY,30,4001 LESLIE ST
PARK ON PRIVATE PROPERTY,30,4001 LESLIE ST
PARK ON PRIVATE PROPERTY,30,95 ST CLAIR AVE W
PARK ON PRIVATE PROPERTY,30,90 STADIUM RD
PARK ON PRIVATE PROPERTY,30,5 ST JOSEPH ST
PARK ON PRIVATE PROPERTY,30,50 BRUYERES MEWS
PARK ON PRIVATE PROPERTY,30,70 FOREST MANOR RD
PARK ON PRIVATE PROPERTY,30,50 BRUYERES MEWS
PARK ON PRIVATE PROPERTY,30,4978 YONGE ST
PARK ON PRIVATE PROPERTY,30,4978 YONGE ST
PARK ON PRIVATE PROPERTY,30,4978 YONGE ST
PARK ON PRIVATE PROPERTY,30,3300 DANFORTH AVE
PARK ON PRIVATE PROPERTY,30,55 ANN O'REILLY RD
PARK ON PRIVATE PROPERTY,30,55 ANN O'REILLY RD
PARK ON PRIVATE PROPERTY,30,55 ANN O'REILLY RD
PARK ON PRIVATE PROPERTY,30,55 ANN O'REILLY RD
PARK ON PRIVATE PROPERTY,30,55 ANN O'REILLY RD
PARK ON PRIVATE PROPERTY,30,55 ANN O'REILLY RD
PARK ON PRIVATE PROPERTY,30,55 ANN O'REILLY RD
PARK ON PRIVATE PROPERTY,30,55 ANN O'REILLY RD
