infraction_description 	 set_fine_amount 	 location2
PARK IN A FIRE ROUTE 	 250 	 263 PHARMACY AVE
PARK IN A FIRE ROUTE 	 250 	 1075 ELLESMERE RD
PARK IN A FIRE ROUTE 	 250 	 1155 MIDLAND AVE
PARK IN A FIRE ROUTE 	 250 	 195 EXBURY RD
PARK IN A FIRE ROUTE 	 250 	 195 EXBURY RD
PARK IN A FIRE ROUTE 	 250 	 195 EXBURY RD
PARK IN A FIRE ROUTE 	 250 	 41 ANTRIM CRES
PARK IN A FIRE ROUTE 	 250 	 746 MIDLAND AVE
PARK IN A FIRE ROUTE 	 250 	 59 WATERFORD DR
PARK IN A FIRE ROUTE 	 250 	 1884 DAVENPORT RD
PARK IN A FIRE ROUTE 	 250 	 55 ANN O'REILLY RD
PARK IN A FIRE ROUTE 	 250 	 55 ANN O'REILLY RD
PARK IN A FIRE ROUTE 	 250 	 21 ICEBOAT TER
PARK IN A FIRE ROUTE 	 250 	 219 FORT YORK BLVD
PARK IN A FIRE ROUTE 	 250 	 1022 TANDRIDGE CRES
PARK IN A FIRE ROUTE 	 250 	 1022 TRANDRIDGE CRES
PARK IN A FIRE ROUTE 	 250 	 1014 TANRIDGE CRES
PARK IN A FIRE ROUTE 	 250 	 1014 TANRIDGE CRES
PARK IN A FIRE ROUTE 	 250 	 257 ROYWOOD DR
PARK IN A FIRE ROUTE 	 250 	 257 ROYWOOD DR
PARK IN A FIRE ROUTE 	 250 	 1780 EGLINTON AVE E
PARK IN A FIRE ROUTE 	 250 	 350 SPRUCEWOOD CRT
PARK IN A FIRE ROUTE 	 250 	 338 SPRUCEWOOD CRT
PARK IN A FIRE ROUTE 	 250 	 115 TORBARRIE RD
PARK IN A FIRE ROUTE 	 250 	 115 TORBARRIE RD
PARK IN A FIRE ROUTE 	 250 	 260 WELLESLEY ST E
PARK IN A FIRE ROUTE 	 250 	 240 WELLESLEY ST E
PARK IN A FIRE ROUTE 	 250 	 1808 SHEPPARD AVE E
PARK IN A FIRE ROUTE 	 250 	 4001 LESLIE ST
PARK IN A FIRE ROUTE 	 250 	 4001 LESLIE ST
PARK IN A FIRE ROUTE 	 250 	 2930 FINCH AVE E
PARK IN A FIRE ROUTE 	 250 	 265 MARKLAND DR
PARK IN A FIRE ROUTE 	 250 	 1090 DON MILLS RD
PARK IN A FIRE ROUTE 	 250 	 804 LANSDOWNE AVE
PARK IN A FIRE ROUTE 	 250 	 1090 DON MILLS RD
PARK IN A FIRE ROUTE 	 250 	 1090 DON MILLS RD
PARK IN A FIRE ROUTE 	 250 	 1090 DON MILLS RD
PARK IN A FIRE ROUTE 	 250 	 1090 DON MILLS RD
PARK IN A FIRE ROUTE 	 250 	 1090 DON MILLS RD
PARK IN A FIRE ROUTE 	 250 	 250 NINTH ST
PARK IN A FIRE ROUTE 	 250 	 700 ONTARIO ST
PARK IN A FIRE ROUTE 	 250 	 700 ONTARIO ST
PARK IN A FIRE ROUTE 	 250 	 1 SUMMERHILL RD
PARK IN A FIRE ROUTE 	 250 	 87 PARMA CT
PARK IN A FIRE ROUTE 	 250 	 880 ELLESMERE RD
PARK IN A FIRE ROUTE 	 250 	 32 WAKUNDA PL
PARK IN A FIRE ROUTE 	 250 	 880 ELLESMERE RD
PARK IN A FIRE ROUTE 	 250 	 22 WAKUNDA PL
PARK IN A FIRE ROUTE 	 250 	 120 DUNDALK DR
PARK IN A FIRE ROUTE 	 250 	 8 TELEGRAM MEWS
PARK IN A FIRE ROUTE 	 250 	 263 PHARMACY AVE
PARK IN A FIRE ROUTE 	 250 	 8 FOUNDRY AVE
PARK IN A FIRE ROUTE 	 250 	 8 FOUNDRY AVE
PARK IN A FIRE ROUTE 	 250 	 40 FALSTAFF AVE
PARK IN A FIRE ROUTE 	 250 	 1 DEAUVILLE LANE
PARK IN A FIRE ROUTE 	 250 	 5 MARINER TER
PARK IN A FIRE ROUTE 	 250 	 5 MARINER TER
PARK IN A FIRE ROUTE 	 250 	 5 MARINER TER
PARK IN A FIRE ROUTE 	 250 	 4001 LESLIE ST
PARK IN A FIRE ROUTE 	 250 	 3300 DON MILLS RD
PARK IN A FIRE ROUTE 	 250 	 31 TAPSCOTT RD
PARK IN A FIRE ROUTE 	 250 	 65 EMMETT AVE
PARK IN A FIRE ROUTE 	 250 	 31 TAPSCOTT RD
PARK IN A FIRE ROUTE 	 250 	 15 BROOKBANKS DR
PARK IN A FIRE ROUTE 	 250 	 1779 JANE ST
PARK IN A FIRE ROUTE 	 250 	 1779 JANE ST
PARK IN A FIRE ROUTE 	 250 	 1779 JANE ST
PARK IN A FIRE ROUTE 	 250 	 135 FENELON DR
