infraction_description,set_fine_amount,location2
PARK ON PRIVATE PROPERTY,30,1105 WILSON AVE
PARK ON PRIVATE PROPERTY,30,370 QUEENS QUAY W
PARK ON PRIVATE PROPERTY,30,202 JARVIS ST
PARK ON PRIVATE PROPERTY,30,135 ISABELLA ST
PARK ON PRIVATE PROPERTY,30,135 ISABELLA ST
PARK ON PRIVATE PROPERTY,30,21 COLONEL SAMUEL SMITH PARK DRIVE
PARK ON PRIVATE PROPERTY,30,1105 WILSON AVE
PARK ON PRIVATE PROPERTY,30,33 DAVISVILLE AVE
PARK ON PRIVATE PROPERTY,30,250 WELLINGTON ST W
PARK ON PRIVATE PROPERTY,30,5500 YONGE ST
PARK ON PRIVATE PROPERTY,30,4700 KEELE ST
PARK ON PRIVATE PROPERTY,30,452 BATHURST ST
PARK ON PRIVATE PROPERTY,30,250 WELLINGTON ST W
PARK ON PRIVATE PROPERTY,30,250 WELLINGTON ST W
PARK ON PRIVATE PROPERTY,30,21 MC CAUL ST
PARK ON PRIVATE PROPERTY,30,370 QUEENS QUAY W
PARK ON PRIVATE PROPERTY,30,452 BATHURST ST
PARK ON PRIVATE PROPERTY,30,452 BATHURST ST
PARK ON PRIVATE PROPERTY,30,452 BATHURST ST
PARK ON PRIVATE PROPERTY,30,370 QUEENS QUAY W
PARK ON PRIVATE PROPERTY,30,20 WELLINGTON ST E
PARK ON PRIVATE PROPERTY,30,20 WELLINGTON ST E
PARK ON PRIVATE PROPERTY,30,20 WELLINGTON ST E
PARK ON PRIVATE PROPERTY,30,55 ANN O'REILLY RD
PARK ON PRIVATE PROPERTY,30,82 BUTTONWOOD AVE
PARK ON PRIVATE PROPERTY,30,789 DON MILLS RD
PARK ON PRIVATE PROPERTY,30,370 QUEENS QUAY W
PARK ON PRIVATE PROPERTY,30,55 ANN O'REILLY RD
PARK ON PRIVATE PROPERTY,30,55 ANN O'REILLY RD
PARK ON PRIVATE PROPERTY,30,55 ANN O'REILLY RD
